id,created_date,closing_date,current_price,side,sale_kind,payment_token_contract,base_price,creator_fee,sale_duration,animation,external_link_boolean,description_boolean
1418600405,2021-10-31T16:30:33.018626,2021-10-31T18:23:57,3.511e+17,0,0,"{'id': 2, 'symbol': 'WETH', 'address': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'image_url': 'https://storage.opensea.io/files/accae6b6fb3888cbff27a013729c22dc.svg', 'name': 'Wrapped Ether', 'decimals': 18, 'eth_price': '1.000000000000000', 'usd_price': '4216.619999999999891000'}",351100000000000000,750.0,0 days 01:53:23.981374,False,True,True
1418600404,2021-10-31T16:30:33.012786,2021-11-01T02:30:28,1.172e+18,0,0,"{'id': 2, 'symbol': 'WETH', 'address': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'image_url': 'https://storage.opensea.io/files/accae6b6fb3888cbff27a013729c22dc.svg', 'name': 'Wrapped Ether', 'decimals': 18, 'eth_price': '1.000000000000000', 'usd_price': '4216.619999999999891000'}",1172000000000000000,950.0,0 days 09:59:54.987214,False,False,True
1418600403,2021-10-31T16:30:33.004529,2021-10-31T20:30:31,1.442e+17,0,0,"{'id': 2, 'symbol': 'WETH', 'address': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'image_url': 'https://storage.opensea.io/files/accae6b6fb3888cbff27a013729c22dc.svg', 'name': 'Wrapped Ether', 'decimals': 18, 'eth_price': '1.000000000000000', 'usd_price': '4216.619999999999891000'}",144200000000000000,250.0,0 days 03:59:57.995471,False,False,True
1418600402,2021-10-31T16:30:33.001666,2021-10-31T20:00:00,3.3209099999999985e+18,0,0,"{'id': 2, 'symbol': 'WETH', 'address': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'image_url': 'https://storage.opensea.io/files/accae6b6fb3888cbff27a013729c22dc.svg', 'name': 'Wrapped Ether', 'decimals': 18, 'eth_price': '1.000000000000000', 'usd_price': '4216.619999999999891000'}",3320909999999998300,500.0,0 days 03:29:26.998334,False,False,False
1418600401,2021-10-31T16:30:32.997468,2021-10-31T20:30:31,3.813e+17,0,0,"{'id': 2, 'symbol': 'WETH', 'address': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'image_url': 'https://storage.opensea.io/files/accae6b6fb3888cbff27a013729c22dc.svg', 'name': 'Wrapped Ether', 'decimals': 18, 'eth_price': '1.000000000000000', 'usd_price': '4216.619999999999891000'}",381300000000000030,500.0,0 days 03:59:58.002532,False,False,True
1418600400,2021-10-31T16:30:32.994782,2021-10-31T21:23:59,1.522e+18,0,0,"{'id': 2, 'symbol': 'WETH', 'address': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'image_url': 'https://storage.opensea.io/files/accae6b6fb3888cbff27a013729c22dc.svg', 'name': 'Wrapped Ether', 'decimals': 18, 'eth_price': '1.000000000000000', 'usd_price': '4216.619999999999891000'}",1522000000000000000,500.0,0 days 04:53:26.005218,False,False,True
1418600399,2021-10-31T16:30:32.987786,2021-10-31T20:30:31,8.931e+17,0,0,"{'id': 2, 'symbol': 'WETH', 'address': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'image_url': 'https://storage.opensea.io/files/accae6b6fb3888cbff27a013729c22dc.svg', 'name': 'Wrapped Ether', 'decimals': 18, 'eth_price': '1.000000000000000', 'usd_price': '4216.619999999999891000'}",893100000000000000,500.0,0 days 03:59:58.012214,False,True,True
1418600398,2021-10-31T16:30:32.977899,2021-10-31T20:40:30,3.123679999999998e+18,0,0,"{'id': 2, 'symbol': 'WETH', 'address': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'image_url': 'https://storage.opensea.io/files/accae6b6fb3888cbff27a013729c22dc.svg', 'name': 'Wrapped Ether', 'decimals': 18, 'eth_price': '1.000000000000000', 'usd_price': '4216.619999999999891000'}",3123679999999998000,500.0,0 days 04:09:57.022101,False,False,False
1418600397,2021-10-31T16:30:32.976126,2021-10-31T20:30:31,3.695e+18,0,0,"{'id': 2, 'symbol': 'WETH', 'address': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'image_url': 'https://storage.opensea.io/files/accae6b6fb3888cbff27a013729c22dc.svg', 'name': 'Wrapped Ether', 'decimals': 18, 'eth_price': '1.000000000000000', 'usd_price': '4216.619999999999891000'}",3695000000000000000,1000.0,0 days 03:59:58.023874,True,True,True
1418600396,2021-10-31T16:30:32.966767,2021-10-31T20:30:31,5.195e+17,0,0,"{'id': 2, 'symbol': 'WETH', 'address': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'image_url': 'https://storage.opensea.io/files/accae6b6fb3888cbff27a013729c22dc.svg', 'name': 'Wrapped Ether', 'decimals': 18, 'eth_price': '1.000000000000000', 'usd_price': '4216.619999999999891000'}",519500000000000000,400.0,0 days 03:59:58.033233,False,True,True
